response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
11.2837,0.0328,0.0322,0.0004,11.2504,0.0001,200,0.0185,event_sourcing,200
12.4391,0.0015,0.0001,0.0,12.4374,0.0001,200,0.0186,event_sourcing,200
10.646,0.0107,0.0076,0.0002,10.635,0.0,200,20.0153,event_sourcing,200
13.105,0.0039,0.0001,0.0011,13.0998,0.0001,200,20.0133,event_sourcing,200
19.0087,0.0099,0.0,0.0001,18.9986,0.0001,200,20.009,event_sourcing,200
10.7257,0.0037,0.0001,0.0,10.7219,0.0001,200,20.0109,event_sourcing,300
11.1281,0.0415,0.0118,0.0007,11.0858,0.0001,200,20.0248,event_sourcing,300
12.4328,0.0242,0.0,0.0011,12.4075,0.0001,200,20.0394,event_sourcing,300
10.3656,0.0764,0.0405,0.0005,10.2885,0.0001,200,0.0145,event_sourcing,400
11.1618,0.0715,0.0683,0.0032,11.0866,0.0001,200,0.0222,event_sourcing,400
11.9408,0.0917,0.0898,0.0011,11.8479,0.0001,200,0.024,event_sourcing,400
14.4954,0.0693,0.065,0.0004,14.4256,0.0001,200,0.0546,event_sourcing,400
14.723,0.0725,0.0115,0.0273,14.623,0.0001,200,0.0142,event_sourcing,400
9.9103,0.0093,0.0001,0.0005,9.9004,0.0001,200,20.0202,event_sourcing,400
10.7391,0.069,0.0556,0.0004,10.6432,0.0001,200,0.0208,event_sourcing,500
10.813,0.0813,0.0807,0.0006,10.6943,0.0001,200,0.0208,event_sourcing,500
11.4991,0.0002,0.0001,0.0001,11.3606,0.0001,200,0.0206,event_sourcing,500
10.4354,0.0,0.0,0.0,10.4353,0.0001,200,10.7599,event_sourcing,500
10.2993,0.0009,0.0001,0.0,10.2983,0.0001,200,20.0835,event_sourcing,500
10.9463,0.0018,0.0001,0.0001,10.9443,0.0001,200,20.0498,event_sourcing,500
11.1015,0.0042,0.0,0.0003,11.097,0.0,200,20.0635,event_sourcing,500
11.1634,0.0003,0.0001,0.0,11.163,0.0001,200,20.1038,event_sourcing,500
12.9251,0.0063,0.0001,0.0003,12.9185,0.0,200,20.0624,event_sourcing,500
13.7262,0.0028,0.0,0.0112,13.7122,0.0001,200,20.0643,event_sourcing,500
10.5827,0.0866,0.0476,0.0025,10.4933,0.0001,200,0.0108,event_sourcing,600
11.2056,0.11,0.096,0.0002,11.0688,0.0,200,0.0028,event_sourcing,600
9.738,0.0099,0.0,0.0623,9.6658,0.0001,200,20.021,event_sourcing,600
14.0988,0.0125,0.0001,0.063,14.0231,0.0001,200,20.0186,event_sourcing,600
18.266,0.0092,0.0001,0.0001,18.2566,0.0,200,20.0315,event_sourcing,600
