makespan,overhead,workflow_instance_id,is_cold,composition
4.681,3.6282777843475342,39b2eb83-9614-4057-873d-2866ffc1eac3,cold,event_sourcing
4.605,3.5539226341247563,0a47c28a-ab1b-428b-8b28-7b98e03ff3bc,cold,event_sourcing
4.523,3.5120720844268796,a30277b0-9bb2-4982-aae6-72bd182eebde,cold,event_sourcing
4.663,3.605959308624268,89a36a06-4811-4f9c-8d86-e156985aa783,cold,event_sourcing
4.742,3.6964496536254883,cac1d9ea-a1dc-499d-a3bb-b61bcec7fba4,cold,event_sourcing
4.612,3.5745835418701173,ec367c34-0562-4d58-9e32-e37a2a66bbf5,cold,event_sourcing
4.692,3.6623519344329836,e4d01737-9b78-4288-87c1-af2f8817e082,cold,event_sourcing
4.717,3.6822593135833737,64506fcf-850a-48eb-83d3-3b3067f4ff8c,cold,event_sourcing
4.354,3.2923771419525147,228de528-f9a6-447d-ba85-6c48b5022834,cold,event_sourcing
4.794,3.757530540466308,30aed65e-9e6c-4672-a576-e0fc33eb7b05,cold,event_sourcing
4.727,3.699418785095215,09a88086-0c24-4ff3-9bbf-009a8a8e2dc8,cold,event_sourcing
4.733,3.688924272537231,a4783ee9-1b6d-472b-b3c4-1bdabf44de38,cold,event_sourcing
4.588,3.5495275859832764,3a4dc17e-b00e-4548-9d2f-65dc788fdb64,cold,event_sourcing
4.843,3.7465751819610595,02087940-abc8-4881-9fbc-e19da7000fc4,cold,event_sourcing
4.982,3.942322141647339,045d957f-b160-406e-8c91-0e46cbb9a40f,cold,event_sourcing
4.677,3.6484212417602535,98dbb6bf-a2ae-4839-8eee-f3d9352d2ee8,cold,event_sourcing
4.827,3.767883159637451,7065f3eb-899c-43e9-9583-5215e3e325b6,cold,event_sourcing
4.872,3.7787823886871337,2c490c66-beef-4d55-94a6-ff98589d2e30,cold,event_sourcing
4.451,3.5026424179077145,8b5be808-3d0a-4f76-a29c-fba74c8ecde9,cold,event_sourcing
4.725,3.639821147918701,08d27760-2cc4-4f4f-9c25-d01279ec7f7c,cold,event_sourcing
4.633,3.601567132949829,861adbc0-c040-4816-a131-73efa5f40f7b,cold,event_sourcing
4.361,4.298806367874145,c3086f89-0a73-4e94-bd15-cfaa8e8d4174,cold,event_sourcing
4.725,3.675550317764282,28d79d72-b2e2-4c6c-9838-eb79b09275bb,cold,event_sourcing
4.743,3.6978959732055667,16218a23-0f9c-4c0e-9ec8-0fed76953ed0,cold,event_sourcing
4.828,3.774140050888062,064f6540-7674-4d3f-9d36-c785f86ad23e,cold,event_sourcing
4.632,3.5870685882568356,456e9484-34aa-41c1-90a4-90a5acd7d967,cold,event_sourcing
4.66,3.591442737579346,0437e3cf-e864-4e3b-a475-88dc535a3a23,cold,event_sourcing
5.0,3.994279384613037,1472b8c4-09e3-4ad5-8852-739a5e6c678a,cold,event_sourcing
2.9419999999999997,2.7713070793151853,9a871b20-77df-4b7f-998f-b800bbc787b2,warm,event_sourcing
2.059,1.990318521499634,2bb39f60-7d90-4c30-9654-eb2fce5a5567,warm,event_sourcing
2.9930000000000003,2.958385437011719,c12a99f8-d275-41ab-b512-3356a6c02417,warm,event_sourcing
2.985,2.889935836791992,f4cd5080-fdef-4ad3-873d-22809aca02c4,warm,event_sourcing
0.85,0.8076120376586914,960a4bc4-c8b3-4f35-8cd8-6d32f4aa4207,warm,event_sourcing
2.937,2.7881698246002196,e36a4cd3-4b9a-4f66-9def-1b6c96a03bfd,warm,event_sourcing
2.451,2.328302885055542,e4f20488-6a00-4ffe-89e5-20d4959896e7,warm,event_sourcing
18.447,18.312565061569213,cea54100-751c-442f-bf37-8b5cb7484740,warm,event_sourcing
2.85,2.7302590370178224,f2c80c0d-a8a8-48f9-a04b-94406796e94a,warm,event_sourcing
21.218999999999998,21.135351079940794,ea849c23-019f-4ad6-9878-dc82ae37138d,warm,event_sourcing
2.072,1.9955243797302247,988b2ec1-84ea-4681-b6f1-f6e8c41a614b,warm,event_sourcing
2.909,2.7977503147125242,1b2e2356-dcbd-4614-abc5-1b3ab6cd3c74,warm,event_sourcing
3.279,3.1549806156158446,0f4cffbf-68e8-4edd-9e26-e5e911576931,warm,event_sourcing
2.1,2.0112823009490968,be05a688-59df-4cb7-9d29-fecf4b6b9c94,warm,event_sourcing
35.917,35.75766677093506,f940ccd1-3c75-45a9-bc8b-c2924c1ad66f,warm,event_sourcing
3.261,3.1621330604553224,5ca886e0-5217-4e27-8d6c-6253f77d07ca,warm,event_sourcing
2.9530000000000003,2.8019294052124026,97495a84-dff8-4d33-9286-97569b219d03,warm,event_sourcing
2.8129999999999997,2.668979204177856,069df0b8-9183-4b6c-b9cf-d5fa8274c776,warm,event_sourcing
2.931,2.782879119873047,dc7eb5e2-f811-421c-a1b1-3e0da22422a6,warm,event_sourcing
2.163,2.016229999542236,5f74b2de-087f-49db-9fed-2d8ccd92b50e,warm,event_sourcing
3.0709999999999997,2.9478522739410398,cc3a033c-b3ee-491d-818d-bd4543676257,warm,event_sourcing
2.42,2.319085283279419,38eb917a-855c-4426-a703-7c7b0d4850fb,warm,event_sourcing
2.942,2.737266628265381,ec8e4298-65aa-4397-a55f-3c632c39f53a,warm,event_sourcing
1.619,1.521909755706787,ece96d3c-5459-4e6a-b3c3-d9e1244d53bc,warm,event_sourcing
2.168,2.049803035736084,9d2c7d4e-faef-4e17-abc2-9ddb273bddf4,warm,event_sourcing
1.42,1.354511661529541,f9a2af30-0e74-4e08-9ceb-47a6a45fcb01,warm,event_sourcing
2.252,2.1530984897613523,246430d7-51e1-4444-8bcd-db1216f550cc,warm,event_sourcing
2.092,2.0112790985107423,516db63b-5921-43a6-b60e-483dcbb39ab3,warm,event_sourcing
1.732,1.70359743309021,a1bd1b33-6589-44f0-8167-3567ffaa2adc,warm,event_sourcing
0.846,0.8195796451568603,6d8de231-fc9b-417f-9ffb-b4a347034736,warm,event_sourcing
